CUST_ANAME,ITEM_NO,ITEM_NAME,MODEL,PRICE
IGCE,898330-5652,BRAKE ASSY FRr LH (ABS),VD00,3900.4
IGCE,897485-4150,BRAKE ASSY Ft RH (STD),VD00 HR,1575.07
IGCE,897485-4160,BRAKE ASSY Ft LH (STD),VD00 HR,1576.41
IGCE,898482-3710,BRAKE ASSY FRr RH (STD),VD00 HR,1085.22
IGCE,898482-3730,BRAKE ASSY FRr RH (STD),VD00 HR,1111.99
IGCE,898482-3740,BRAKE ASSY RRr RH (STD),VD00 HR,1543.34
IGCE,898482-3770,BRAKE ASSY FRr LH (STD),VD00 HR,1085.22
IGCE,898482-3790,BRAKE ASSY FRr LH (STD),VD00 HR,1077.54
IGCE,898482-3800,BRAKE ASSY RRr LH (STD),VD00 HR,1676.37
IGCE,898482-3830,BRAKE ASSY RRr RH (STD),VD00 HR,1647.02
IGCE,898482-3840,BRAKE ASSY RRr LH (STD),VD00 HR,1687.54
IGCE,G167-16000Z30,SPRING;anc,VD00 HR,0
IGCE,G167-16100Z30,SPRING;anc,VD00 HR,0
